sp	activity	reference
Berberis aristata DC.	Alpha-adreno inhibitor(Alpha副腎阻害剤);Alterative(体質改善剤);Anesthetic(麻酔薬);Antibacterial(抗菌);Antipyretic(解熱薬);Antiseptic(防腐剤);Astringent(収斂性);Bitter(苦味);Cardiotonic(強心剤);Cholagogue(胆汁分泌促進薬);Cicatrizant(瘢痕形成薬);Cyclooxygenase COX-2 inhibitor(シクロオキシゲナーゼ-2-阻害剤);Deobstruent(閉塞物の排除);Diaphoretic(発汗剤);Emmenagogue(通経薬);Hypoglycemic(低血糖);Hypotensive(低血圧);Laxative(下剤);Stomachic(健胃薬);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Berberis rigidifolia Kunth	Cholagogue(胆汁分泌促進薬);Diaphoretic(発汗剤);Digestive(消化器);Febrifuge(解熱剤);Hemostat(止血剤);Hepatotonic;Hypotensive(低血圧);Laxative(下剤);Purgative(下剤);Refrigerant(解熱剤);Tonic(強壮剤);Vasodilator(血管拡張神経、血管拡張薬)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Bellis perennis L.	Antiinflammatory(抗炎症);Antipyretic(解熱薬);Antispasmodic(鎮痙薬);Astringent(収斂性);Depurative(浄化作用);Discutient(散らし薬);Diuretic(利尿薬);Expectorant(去痰薬);Hemostat(止血剤);Mucolytic(粘液溶解薬);Pectoral(胸筋);Tonic(強壮剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Berberis vulgaris L.	Alterative(体質改善剤);Amebicide(抗アメーバ薬);Antiacetylcholinesterase(抗アセチルコリンエステラーゼ);Antialzheimeran(抗アルツハイマー);Antiamnesic(抗健忘);Antiarrhythmic(不整脈治療剤);Antiarthritic(抗関節炎薬);Antibacterial(抗菌);Anticancer(抗ガン);Anticariogenic(う蝕);Anticholinesterase(抗コリンエステラーゼ);Anticonvulsant(抗けいれん薬、抗痙攣薬);Antiemetic(制吐剤);Antifibrillatory(抗細);Antihelicobacter(抗ヘリコバクテリア);Antihemorrhagic(抗出血性);Antiinflammatory(抗炎症);Antiitch(かゆみ止め);Antimitotic(抗有糸分裂);Antineoplastic(抗腫瘍性);Antiperistaltic(蠕動抑制);Antipyretic(解熱薬);Antiscorbutic(抗壊血病);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitubercular(抗結核);Antiulcerogenic(抗潰瘍);Aperitif(食前酒);Astringent(収斂性);Bitter(苦味);Cholagogue(胆汁分泌促進薬);Collyrium(洗眼液);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Expectorant(去痰薬);Fungicide(殺菌剤、防カビ剤);Hematogenic(造血);Hepatotonic;Hypotensive(低血圧);Immunostimulant(免疫賦活剤);Laxative(下剤);Leucocytogenic;Mydriatic(散瞳薬);Negative inotropic(陰性変力作用);Parasiticide(虫下し、駆虫薬);Peristaltic(蠕動性);Positive Inotropic(陽性変力作用);Sedative(鎮静剤);Tonic(強壮剤);Tranquilizer(精神安定剤);Trypanosomicide(抗トリパノソーマ薬);Uterotonic(子宮収縮薬);Vasoconstrictor(血管収縮薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Bergenia crassifolia (L.) Fritsch	Aggregant;Antiinflammatory(抗炎症);Antiseptic(防腐剤);Astringent(収斂性);Bacteristat(静菌剤);Hemostat(止血剤);Urinary antiseptic(尿路消毒薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Bertholletia excelsa Bonpl.	Allergenic(アレルギー生成);Analgesic(鎮痛剤);Antiaggregant(抗血小板剤);Anticancer(抗ガン);Anticancer, colon(抗ガン、結腸);Anticancer, lung(抗ガン、肺);Anticancer, prostate(抗ガン、前立腺);Antidote (mercury)(解毒剤、水銀);Antihypertensive(降圧剤);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Cardioprotective(心臓保護);Depurative(浄化作用);Hepatoprotective(肝保護);Immunostimulant(免疫賦活剤);Insecticide(殺虫剤);Trypanosomicide(抗トリパノソーマ薬)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Beta vulgaris L.	Anorectic(食思減退薬、食欲抑制薬);Antibacterial(抗菌);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Antiseptic(防腐剤);Antitumor(抗腫瘍);Aphrodisiac(媚薬);Cardiotonic(強心剤);Carminative(駆風薬);Diaphoretic(発汗剤);Diuretic(利尿薬);Emmenagogue(通経薬);Estrogenic(エストロゲン);Expectorant(去痰薬);Hepatoprotective(肝保護);Myotonic(筋緊張症);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Betula lenta L.	Alterative(体質改善剤);Analgesic(鎮痛剤);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Antipyretic(解熱薬);Antiseptic(防腐剤);Aquaretic(水利尿);Carminative(駆風薬);Counterirritant(反対刺激);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Pectoral(胸筋);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Betula papyrifera Marshall	Analgesic(鎮痛剤);Astringent(収斂性);Carminative(駆風薬);Contraceptive(避妊薬);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Emetic(催吐薬);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Laxative(下剤);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Betula spp.	Analgesic(鎮痛剤);Antibacterial(抗菌);Antiinflammatory(抗炎症);Antimelanomic(抗黒皮症);Antipyretic(解熱薬);Antiseptic(防腐剤);Aquaretic(水利尿);Astringent(収斂性);Counterirritant(反対刺激);Depurative(浄化作用);Diuretic(利尿薬);Parasiticide(虫下し、駆虫薬);Saluretic(塩分排)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Bidens pilosa L.	Antibacterial(抗菌);Antidiabetic(抗糖尿病薬);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Astringent(収斂性);Emmenagogue(通経薬);Expectorant(去痰薬);Fungicide(殺菌剤、防カビ剤);Hemostat(止血剤);Hypoglycemic(低血糖);Parasiticide(虫下し、駆虫薬);Phototoxic(光毒性);Protisticide(原生生物駆除剤);Stimulant(興奮薬);Tonic(強壮剤);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Bidens tripartita L.	Antibacterial(抗菌);Antiinflammatory(抗炎症);Antipyretic(解熱薬);Antiseptic(防腐剤);Aperient(緩下剤);Astringent(収斂性);Cholagogue(胆汁分泌促進薬);Diaphoretic(発汗剤);Diuretic(利尿薬);Emmenagogue(通経薬);Expectorant(去痰薬);Hemostat(止血剤);Sedative(鎮静剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Biophytum sensitivum (L.) DC.	Analgesic(鎮痛剤);Antiangiogenic(抗血管新生);Antiaphrodisiac(抗性欲剤);Anticancer(抗ガン);Antidemic(腫れ抑制);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Antiseptic(防腐剤);Antisialagogue(抗唾液分泌促進薬);Antitumor(抗腫瘍);Astringent(収斂性);Bitter(苦味);Contraceptive(避妊薬);Cyclooxygenase COX-1 inhibitor(シクロオキシゲナーゼ-1-阻害剤);Diuretic(利尿薬);Expectorant(去痰薬);Febrifuge(解熱剤);Hypoglycemic(低血糖);Insulinotropic(インシュリン);Litholytic(結石溶解);Sterilant(滅菌剤);Stimulant(興奮薬);Tonic(強壮剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Bixa orellana L.	Acne(にきび、挫瘡(ざそう));Aldose reductase inhibitor(アルドース還元酵素阻害剤);Alexeteric(解毒作用);Allergenic(アレルギー生成);Alopecia(脱毛(症));Antacid(制酸薬);Antibacterial(抗菌);Antidote (Cassava)(解毒剤、キャッサバ);Antidote (Jatropha)(解毒剤、ジャトロファ);Antiemetic(制吐剤);Antigenotoxic(抗遺伝毒性);Antiinflammatory(抗炎症);Antimutagenic(抗突然変異性);Antiophidic(抗ヘビ毒);Antioxidant(酸化防止剤);Antiprostaglandin(抗プロスタグランジン);Antipyretic(解熱薬);Antiradicular(抗神経根);Antisecretory(抗分泌);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitumor(抗腫瘍);Antitumor, CNS(抗腫瘍、中枢神経系);Antitumor, colon(抗腫瘍、結腸);Antitumor, lung(抗腫瘍、肺);Antitumor, stomach(抗腫瘍、胃);Antitussive(鎮咳薬);Aphrodisiac(媚薬);Aphrodisiac, female(媚薬、女性);Asthma(喘息);Astringent(収斂性);Bactericide(殺菌剤);Bite;Bleeding(出血);Blister(水疱);Cancer(ガン);Cancer, mouth(ガン、口腔);Candidicide;Cardiotonic(強心剤);Chemopreventive(化学防御);Childbirth(分娩);Cicatrizant(瘢痕形成薬);CNS-depressant(中枢神経系抑制剤);Colic(疝痛);Condyloma(コンジローム);Conjunctivosis;Cyclooxygenase COX-1 inhibitor(シクロオキシゲナーゼ-1-阻害剤);Cyclooxygenase COX-2 inhibitor(シクロオキシゲナーゼ-2-阻害剤);Depressant(抑制薬);Depurative(浄化作用);Dermatosis(皮膚病);Detergent(洗浄剤);Diabetes(糖尿病);Diarrhea(下痢);Digestive(消化器);Diuretic(利尿薬);Dysentery(赤痢);Dyspnea(呼吸困難);Emmenagogue(通経薬);Emollient(緩和剤);Epilepsy(癲癇);Eruption(発疹);Expectorant(去痰薬);Febrifuge(解熱剤);Fever(発熱);Flu(インフルエンザ);Fungicide(殺菌剤、防カビ剤);Gastrosis(胃障害);Gastrotonic(胃強壮薬);Glaucoma(緑内障);Gonorrhea(淋病);Headache(頭痛);Hemorrhoids(痔核);Hemostat(止血剤);Hepatoprotective(肝保護);Hepatosis(肝機能不全);Hepatotropic(肝(臓)親和性);High blood pressure(高血圧);High blood suger;Hyperglycemic(高血糖性);Hypertensive(高血圧);Hypoglycemic(低血糖);Hypotensive(低血圧);Immunostimulant(免疫賦活剤);Infection(感染);Inflammation(炎症);Insecticide(殺虫剤);Insulinogenic(インスリン生成);Jaundice(黄疸);Laxative(下剤);Lens aldose reductase inhibitor(レンズアルドースレダクターゼ阻害剤);Leprosy(癩);Malaria(マラリア);Measles(麻疹、はしか);Myorelaxant(筋肉弛緩薬);Nausea(吐き気);Nephrosis((上皮性)腎臓症、ネフローゼ);Pain(痛み);Parasiticide(虫下し、駆虫薬);Pleurisy(胸膜炎);Prostaglandin synthetase-inhibitor(プロスタグランジン合成酵素阻害剤);Prostatosis;Pulmonosis;Purgative(下剤);Radioprotective(放射線防護);Scar(瘢痕);Secretolytic;Sedative(鎮静剤);Snakebite(ヘビ傷);Sore(潰瘍);Sore Throat(咽喉炎);Spasmogenic(収縮刺激性);Stomachache(胃痛、腹痛);Stomatosis(口腔病、口腔症);Tonsilosis;Trichomonacide(抗トリコモナス剤);Tumor(腫瘍);Uterocontractant(子宮コントラクタント);Uterosis;Venereal disease(性行為感染症);Vermicide(駆虫剤);Vomiting(嘔吐);Vulnerary(傷薬、外傷にきく);Wound(創傷)	James A Duke with Mary Jo Bogenschutz-Godwin,Judi duCellier,Peggy-Ann K.Duke(Illustrator),CRC HANDBOOK OF Medicinal Spices,CRC PRESS(2002);James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Atropa belladonna L.	Analgesic(鎮痛剤);Anesthetic(麻酔薬);Antiasthmatic(抗ぜんそく);Anticholinergic(抗コリン作用薬);Antidote(解毒剤);Antipyretic(解熱薬);Antisecretagogue(抗分泌促進物質);Antisialagogue(抗唾液分泌促進薬);Antispasmodic(鎮痙薬);Cardioactive(心臓に影響を与える);CNS-depressant(中枢神経系抑制剤);CNS-stimulant(中枢神経系刺激剤);Collyrium(洗眼液);Diuretic(利尿薬);Hallucinogen(幻覚剤);Hypertensive(高血圧);Laxative(下剤);Liniment(塗薬);Mydriatic(散瞳薬);Myorelaxant(筋肉弛緩薬);Narcotic(麻薬);Nervine(神経鎮静薬);Parasympatholytic(副交感神経遮断薬);Positive chronotropic(陽性変時);Positive dromotropic(正変伝導);Secretolytic;Sedative(鎮静剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Aspidosperma excelsum Benth.	Antioxidant(酸化防止剤);Antiplasmodial(抗変形菌);Antiseptic(防腐剤);Antitumor(抗腫瘍);Antitussive(鎮咳薬);Aphrodisiac(媚薬);Bactericide(殺菌剤);Carminative(駆風薬);Cicatrizant(瘢痕形成薬);Digestive(消化器);Febrifuge(解熱剤);Hypotensive(低血圧);Plasmodicide(抗マラリア薬);Stomachic(健胃薬);Tumor(腫瘍);Vasodilator(血管拡張神経、血管拡張薬)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Bacopa monnieri (L.) Pennell	Adaptogen(適応促進薬、アダプトゲン);Adaptogenic(強壮効果);Analgesic(鎮痛剤);Antiamnesic(抗健忘);Anticancer(抗ガン);Anticonvulsant(抗けいれん薬、抗痙攣薬);Antidepressant(抗鬱剤);Antidote(解毒剤);Antiedemic(抗浮腫性);Antifatigue(抗疲労);Antiinflammatory(抗炎症);Antileishmanic(抗レーシュマニア);Antioxidant(酸化防止剤);Antiparalytic(麻痺治療薬);Antiprostaglandin-E2(抗プロスタグランジン-E2);Antispasmodic(鎮痙薬);Antistress(抗ストレス);Antitumor(抗腫瘍);Antiulcerogenic(抗潰瘍);Anxiolytic(抗不安薬);Aperient(緩下剤);Aphrodisiac(媚薬);Bactericide(殺菌剤);Broncho-Vasodilator(気管血管拡張);Calcium antagonist(カルシウム拮抗薬);Cardiotonic(強心剤);Cerebrotonic(頭脳型);Convulsant(けいれんを起こす);Diuretic(利尿薬);Emetic(催吐薬);Enterotonic(腸強壮剤);Expectorant(去痰薬);Febrifuge(解熱剤);Fungicide(殺菌剤、防カビ剤);GABA nergic(GABA作動性);Gastroprotective(胃保護剤);Glutaminergic;Hepatoprotective(肝保護);Herbicide(除草剤);Hydragogue(駆水薬);Hypertensive(高血圧);Hypotensive(低血圧);Laxative(下剤);Memorigenic;Myorelaxant(筋肉弛緩薬);Negative chronotropic(陰性変時);Nervine(神経鎮静薬);Neuroprotective(神経保護);Neurotonic(神経賦活性);Nootropic(向知性);Purgative(下剤);Respiratonic(呼吸強壮薬);Rubefacient(発赤剤);Sedative(鎮静剤);Spasmogenic(収縮刺激性);Tonic(強壮剤);Toxic(毒性);Tracheorelaxant;Tranquilizer(精神安定剤);Vasoconstrictor(血管収縮薬);Vasodilator(血管拡張神経、血管拡張薬);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002);James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Bactris gasipaes Kunth	Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Ballota nigra L.	Antiaging(アンチエイジング);Antiemetic(制吐剤);Antioxidant(酸化防止剤);Antispasmodic(鎮痙薬);Antitussive(鎮咳薬);Astringent(収斂性);Bitter(苦味);Bradycardiac(徐脈);Cholagogue(胆汁分泌促進薬);Depurative(浄化作用);Detersive(洗浄性);Diuretic(利尿薬);Emmenagogue(通経薬);Expectorant(去痰薬);Hypotensive(低血圧);Nervine(神経鎮静薬);Sedative(鎮静剤);Stimulant(興奮薬);Stomachic(健胃薬);Uterotonic(子宮収縮薬);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Banisteriopsis caapi (Spruce ex Griseb.) C. V. Morton	Anthelminthic(駆虫薬、虫下し);Antibacterial(抗菌);Antifeedant(摂食阻害剤);Antileishmanic(抗レーシュマニア);Antiparkinsonian(抗パーキンソン病);Aphrodisiac(媚薬);Bactericide(殺菌剤);Bradycardiac(徐脈);Bronchospasm(気管支けいれん、気管支痙攣);Bronchospasmogenic;Cardiovascular(心臓血管);CNS-stimulant(中枢神経系刺激剤);Convulsant(けいれんを起こす);Cytotoxic(細胞毒性);Desmutagenic(脱変異原);Emetic(催吐薬);Euphoric(陶酔);Hallucinogen(幻覚剤);Hallucinogenic(幻覚生成);Hyperkinetic(運動過剰性);Laxative(下剤);MAO inhibitor(モノアミン酸化酵素阻害剤);Phototoxic(光毒性);Plasmodicide(抗マラリア薬);Protisticide(原生生物駆除剤);Psychotropic(向精神薬);Purgative(下剤);Respiradepressant(呼吸抑制剤);Spinodepressant(脊髄抑制剤);Telepathic(精神感応、テレパシー);Tremorigenic(振戦発現性);Trypanosomicide(抗トリパノソーマ薬);Uteroactive(子宮活性);Vermicide(駆虫剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Baptisia tinctoria (L.) R. Br	Antidipsomaniac(抗アルコール依存);Antiinflammatory(抗炎症);Antileukemic(抗白血病);Antimelanomic(抗黒皮症);Antipyretic(解熱薬);Antiseptic(防腐剤);Antitumor(抗腫瘍);Apoptotic(アポトーシス);Cholagogue(胆汁分泌促進薬);Depurative(浄化作用);Emetic(催吐薬);Emmenagogue(通経薬);Estrogenic(エストロゲン);Expectorant(去痰薬);Hepatotonic;Immunostimulant(免疫賦活剤);Laxative(下剤);Leukocytogenic;Phagocytotic(食作用);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Bassia scoparia (L.) A. J. Scott	Anesthetic(麻酔薬);Antialcoholic(反アルコール);Antiallergic(抗アレルギー);Antiinflammatory(抗炎症);Antiitch(かゆみ止め);Antiulcerogenic(抗潰瘍);Astringent(収斂性);Bitter(苦味);Cardiotonic(強心剤);Detoxicant(解毒剤);Diaphoretic(発汗剤);Diuretic(利尿薬);Fungicide(殺菌剤、防カビ剤);Gastroprotective(胃保護剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Batis maritima L.	Antiscorbutic(抗壊血病);Depurative(浄化作用);Diuretic(利尿薬);Orexigenic(食欲刺激[促進]物質);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Bauhinia forficata Link	Anticoagulant(抗凝固剤);Antidiabetic(抗糖尿病薬);Antioxidant(酸化防止剤);Astringent(収斂性);Depurative(浄化作用);Diuretic(利尿薬);Hypocholesterolemic(低コレステロール血);Hypoglycemic(低血糖);Hypotriglyceridemic(低トリグリセリド);Molluscicide(軟体動物駆除剤);Tonic(強壮剤);Uterorelaxant(子宮弛緩薬);Vermicide(駆虫剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Begonia cucullata Willd.	Analgesic(鎮痛剤);Antiinflammatory(抗炎症);Diuretic(利尿薬);Febrifuge(解熱剤);Plasmodicide(抗マラリア薬);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Belamcanda chinensis (L.) DC.	Alexeteric(解毒作用);Antiallergic(抗アレルギー);Antiasthmatic(抗ぜんそく);Antibacterial(抗菌);Antidote (curare)(解毒剤、クラーレ（植物）);Antiemetic(制吐剤);Antihistaminic(抗ヒスタミン薬);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Antipyretic(解熱薬);Antitussive(鎮咳薬);Antiviral(抗ウイルス薬);Aperient(緩下剤);Bitter(苦味);Carminative(駆風薬);Cholinergic(コリン作動性);Deobstruent(閉塞物の排除);Depurative(浄化作用);Detoxicant(解毒剤);Diuretic(利尿薬);Emmenagogue(通経薬);Expectorant(去痰薬);Fungicide(殺菌剤、防カビ剤);Hypotensive(低血圧);Laxative(下剤);Stomachic(健胃薬);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Abuta grandifolia (Mart.) Sandwith	Analgesic(鎮痛剤);Antianemic(抗貧血);Antimicrobial(抗菌剤);Aphrodisiac(媚薬);Bactericide(殺菌剤);Cardiotonic(強心剤);Febrifuge(解熱剤);Insecticide(殺虫剤);Larvicide(幼虫駆除剤);Mosquitocide(防蚊剤);Plasmodicide(抗マラリア薬);Tonic(強壮剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
