cid	metabolite	category	function	targetsp	reference
C00000136	1,8-Cineole;Eucalyptol	Antibacterial	Antibacterial	Enterococcus gallinarum CDC-42 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000136	1,8-Cineole;Eucalyptol	Antibacterial	Antibacterial	Klebsiella pneumoniae ATCC13883 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Enhance plant growth	promote protoplast growth	Triticum aestivum	Bossen,Plant Physiol.,137,(1991),706-710
C00000136	1,8-Cineole;Eucalyptol	Antibacterial	Antibacterial	Salmonella aertrycke ATCC14028 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000136	1,8-Cineole;Eucalyptol	Antibacterial	Antibacterial	Staphylococcus aureus ATCC25953 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000136	1,8-Cineole;Eucalyptol	Antibacterial	Antibacterial	Staphylococcus epidermidis ATCC12228 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000136	1,8-Cineole;Eucalyptol	Antibacterial	Antibacterial	Streptococcus mutans ATCC25175 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000136	1,8-Cineole;Eucalyptol	Antibacterial	Antibacterial	Streptococcus pyogens ATCC19615 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000136	1,8-Cineole;Eucalyptol	Antibacterial	Antibacterial	Vibrio vulnifics ATCC29307 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit plant growth	regulate bud dormancy		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter50
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit root growth	inhibit root growth	Pisum sativum	Gaither,Plant Physiol.,55,(1975),948-949
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit root growth	inhibit root growth	Zea mays	Pilet,Plant Sci.Lett.,31,(1983),117-122;Mulkey,Planta,157,(1983),150-157
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit stem growth	control stomatal closure		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter50
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit stem growth	inhibit coleoptile growth	Avena sativa	Rehm,Plant Physiol.,51,(1973),946-948
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit stem growth	inhibit coleoptile growth	Hordeum vulgare	Khan,Physiol.Plant.,22,(1969),94-103
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit stem growth	inhibit coleoptile growth	Zea mays	Kutschera,Planta,167,(1986),525-535;Kutschera,Planta,169,(1986),437-442
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit stem growth	inhibit cotyledon growth	Citrullus lanatus	Longo,Physiol.Plant.,53,(1981),82-86
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit stem growth	inhibit hypocotyl growth	Amaranthus caudatus	Ray,J.Exp.Bot.,31,(1980),1651-1656;Ray,Can.J.Bot.,62,(1984),2047-2052
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit stem growth	inhibit hypocotyl growth	Cucurbita maxima	Wakabayashi,Plant Cell Physiol.,30,(1989),99-105Wakabayashi,Physiol.Plant.,75,(1989),151-156
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit stem growth	inhibit hypocotyl growth	Glycine max	Bensen,Plant Physiol.,88,(1988),289-294
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit stem growth	inhibit mesocotyl growth	Avena sativa	Milborrow,Planta,70,(1966),155-171
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit stem growth	inhibit stem growth	Acer rubrum	Perry,Bot.Gaz.,134,(1973),283-289
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit stem growth	inhibit stem growth	Capsicum annum	Watts,Ann.Bot.,47,(1981),595-602
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit stem growth	inhibit stem growth	Commelina communis	Watts,Ann.Bot.,47,(1981),595-602
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit stem growth	inhibit stem growth	Iris hollandica	Doss,Plant Physiol.,72,(1983),713-716
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit stem growth	inhibit stem growth	Lycopersicon esculentum	Aung,HortSci.,9,(1974),76-77
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit stem growth	inhibit stem growth	Pisum sativum	Arney,New Phytol.,68,(1969),1001-1015
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit stem growth	inhibit stem growth	Zea mays	Watts,Ann.Bot.,47,(1981),595-602
C00000135	(-)-Camphor	Allelopathic	allelopathic activity		
C00000136	1,8-Cineole;Eucalyptol	Allelopathic	allelopathic activity		
C00000125	Glucobrassicin;Glucobrassicine;3-Indolylmethylglucosinolate		the hydrolysis products is an unstable isothiocyanate which liberates free thiocyanate, SCN-		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter13
C00000126	Neoglucobrassicin;1-Methoxy-3-indolylmethylglucosinolate	Flavor	flavour component, together with the breakdown products		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter13
C00000136	1,8-Cineole;Eucalyptol	Analgesic	Analgesic		Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000136	1,8-Cineole;Eucalyptol	Anthelmintic	anthelmintic activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48
C00000136	1,8-Cineole;Eucalyptol	Antiasthmatic	Antiasthmatic		Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000136	1,8-Cineole;Eucalyptol	Antibacterial	Antibacterial	Bacillus coli ATCC25922 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000136	1,8-Cineole;Eucalyptol	Antibacterial	Antibacterial	Bacillus coli O157:H7 ATCC43894 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000136	1,8-Cineole;Eucalyptol	Antibacterial	Antibacterial	Bacillus pyocyaneus ATCC27853 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000114	Indole-3-ethanol;Tryptophol	Phytotoxic	cause necrotic symptoms when applied at a concentration of 6.2*10^(-4) mol/dm(-3)	Eleusine indica	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter16
C00000115	Indol-3-propionic acid;1H-Indole-3-propanoic acid	Enhance flowering	promote elongation of coleoptile segment	Avena sativa	Pressey,Plant Physiol.,65,(1980),136-140
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Enhance fruiting	induce pathenocarpy	Fragaria ananassa	Thompson,Plant Physiol.,41,(1966),673-682
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Enhance root growth	induce root formation in cutting	Acer griseum	Maynard,HortSci.,25,(1990),200-202
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Enhance root growth	induce root formation in cutting	Castanea dentata	Serres,J.Environ.Hort.,8,(1990),86-88
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Enhance root growth	induce root formation in cutting	Cercis canadensis	Tipton,HortSci.,25,(1990),196-198
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Enhance root growth	induce root formation in cutting	Citrus grandis	Sagee,J.Hort.Sci.,65,(1990),473-478
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Enhance root growth	induce root formation in cutting	Ericameria laricifloia	Tipton,HortSci.,25,(1990),196-198
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Enhance root growth	induce root formation in cutting	Fraxinus greggii	Tipton,HortSci.,25,(1990),196-198
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Enhance root growth	induce root formation in cutting	Heptacodium jasminoides	Lee,J.Environ.Hort.,8,(1990),121-123
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Enhance root growth	induce root formation in cutting	Larix laricina	Stein,Can.J.Bot.,68,(1990),492-498
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Enhance root growth	induce root formation in cutting	Pinus banksiana	Haissig,Physiol.Plant.,78,(1990),455-461
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Enhance root growth	induce root formation in cutting	Prunus avium	Reighard,HortSci.,25,(1990),517-518
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Enhance root growth	induce root formation in cutting	Rhus vires	Tipton,HortSci.,25,(1990),196-198
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Enhance root growth	induce root formation in shoot	Camellia reticulata	San-Jose,Sci.Hort.,43,(1990),155-162
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Enhance root growth	induce root formation in shoot	Limonium perezii	Kunitake,Plant Sci.,70,(1990),115-119
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Enhance root growth	induce root formation in shoot	Prunus avium	Biondi,Physiol.Plant.,78,(1990),474-483
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Enhance root growth	induce shoot regeneration on leaf disk	Solanum laciniatum	Davies,Z.Pflanenphysiol.,92,(1979),51-60
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Enhance root growth	promote metabolite transport in root	Cirsium arvense	Tworkoski,J.Plant Growth Regul.,6,(1987),221-232
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Inhibit flowering	inhibit flowering	Pharbitis nil	Friedman,Plant Physiol.,94,(1990),114-119
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Inhibit plant growth	induce pedicel abscission	Pyrus communis	Pierik,Physiol.Plant.,48,(1980),5-8
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Inhibit root growth	inhibit root elongation	Cirsium arvense	Tworkoski,J.Plant Growth Regul.,6,(1987),221-232
C00000116	Indole-3-butyric acid;1H-Indole-3-butanoic acid;IBA	Inhibit root growth	inhibit root elongation	Pisum sativum	Bertell,Physiol.Plant.,79,(1990),255-258
C00000125	Glucobrassicin;Glucobrassicine;3-Indolylmethylglucosinolate	Flavor	flavour component, together with decomposition products produced during cooking		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter13
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Enhance plant growth	promote protoplast growth	Vicia faba	Iversen,Z.Pflanzenphysiol.,110,(1983),293-300
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Enhance root growth	promote root growth	Phaseolus coccineus	Abou-Mandour,Z.Pflanzenphysiol.,100,(1980),25-33
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Enhance root growth	promote root growth	Pisum sativum	Gaither,Plant Physiol.,55,(1975),948-949
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Enhance root growth	promote root growth	Zea mays	Pilet,Plant Sci.Lett.,31,(1983),117-122;Mulkey,Planta,157,(1983),150-157
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Enhance stem growth	promote stem growth	Lycopersicon esculentum	Weston,HortSci.,11,(1976),22-23
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Enhance stem growth	promote stem growth	Phaseolus coccineus	Abou-Mandour,Z.Pflanzenphysiol.,100,(1980),25-33
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit leaf growth	inhibit leaf growth	Acer pseudoplatanus	El-Antably,Planta,73,(1967),74-90
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit leaf growth	inhibit leaf growth	Betula pubescens	El-Antably,Planta,73,(1967),74-90
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit leaf growth	inhibit leaf growth	Capsicum annum	Watts,Ann.Bot.,47,(1981),595-602
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit leaf growth	inhibit leaf growth	Commelina communis	Watts,Ann.Bot.,47,(1981),595-602
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit leaf growth	inhibit leaf growth	Helianthus annuus	Zhang,Plant Cell Environ.,13,(1990),277-285
C00000100	Indole-3-acetic acid;IAA	Enhance stem growth	promote gorwth of light-inhibited mesocotyl	Zea mays	Yahalom,Physiol.Plant.,72,(1988),428-433
